entity_id,entity_type,b_size,e_size,m_size,daily_calls,current_gas,eip7883_gas,gas_increase,cost_ratio,monthly_usd_current,monthly_usd_eip7883,monthly_usd_increase
DeFi Protocol_006,DeFi Protocol,32,32,32,200,200,500,300,2.5,105.0,262.5,157.5
DeFi Protocol_007,DeFi Protocol,32,32,32,200,200,500,300,2.5,105.0,262.5,157.5
DeFi Protocol_008,DeFi Protocol,32,32,32,200,200,500,300,2.5,105.0,262.5,157.5
DeFi Protocol_009,DeFi Protocol,32,32,32,200,200,500,300,2.5,105.0,262.5,157.5
DeFi Protocol_010,DeFi Protocol,32,32,32,200,200,500,300,2.5,105.0,262.5,157.5
DeFi Protocol_012,DeFi Protocol,32,32,32,200,200,500,300,2.5,105.0,262.5,157.5
DeFi Protocol_003,DeFi Protocol,32,32,32,200,200,500,300,2.5,105.0,262.5,157.5
DeFi Protocol_004,DeFi Protocol,32,32,32,200,200,500,300,2.5,105.0,262.5,157.5
DeFi Protocol_011,DeFi Protocol,32,32,32,200,200,500,300,2.5,105.0,262.5,157.5
DeFi Protocol_002,DeFi Protocol,32,32,32,200,200,500,300,2.5,105.0,262.5,157.5
DeFi Protocol_001,DeFi Protocol,32,32,32,200,200,500,300,2.5,105.0,262.5,157.5
DeFi Protocol_005,DeFi Protocol,64,32,64,150,341,682,341,2.0,134.26875,268.5375,134.26875
DeFi Protocol_001,DeFi Protocol,64,32,64,150,341,682,341,2.0,134.26875,268.5375,134.26875
DeFi Protocol_006,DeFi Protocol,64,32,64,150,341,682,341,2.0,134.26875,268.5375,134.26875
DeFi Protocol_004,DeFi Protocol,64,32,64,150,341,682,341,2.0,134.26875,268.5375,134.26875
DeFi Protocol_002,DeFi Protocol,64,32,64,150,341,682,341,2.0,134.26875,268.5375,134.26875
DeFi Protocol_003,DeFi Protocol,64,32,64,150,341,682,341,2.0,134.26875,268.5375,134.26875
DeFi Protocol_007,DeFi Protocol,64,32,64,150,341,682,341,2.0,134.26875,268.5375,134.26875
DeFi Protocol_008,DeFi Protocol,64,32,64,150,341,682,341,2.0,134.26875,268.5375,134.26875
Medium Complexity_003,Medium Complexity,128,32,128,20,200,2730,2530,13.65,10.5,143.325,132.82500000000002
Medium Complexity_004,Medium Complexity,128,32,128,20,200,2730,2530,13.65,10.5,143.325,132.82500000000002
Medium Complexity_005,Medium Complexity,128,32,128,20,200,2730,2530,13.65,10.5,143.325,132.82500000000002
Medium Complexity_008,Medium Complexity,128,32,128,20,200,2730,2530,13.65,10.5,143.325,132.82500000000002
Medium Complexity_001,Medium Complexity,128,32,128,20,200,2730,2530,13.65,10.5,143.325,132.82500000000002
Medium Complexity_010,Medium Complexity,128,32,128,20,200,2730,2530,13.65,10.5,143.325,132.82500000000002
Medium Complexity_007,Medium Complexity,128,32,128,20,200,2730,2530,13.65,10.5,143.325,132.82500000000002
Medium Complexity_006,Medium Complexity,128,32,128,20,200,2730,2530,13.65,10.5,143.325,132.82500000000002
Medium Complexity_009,Medium Complexity,128,32,128,20,200,2730,2530,13.65,10.5,143.325,132.82500000000002
Medium Complexity_002,Medium Complexity,128,32,128,20,200,2730,2530,13.65,10.5,143.325,132.82500000000002
Regular User_026,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_001,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_002,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_027,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_028,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_029,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_030,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_003,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_004,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_005,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_006,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_007,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_008,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_009,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_010,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_011,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_012,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_013,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_014,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_015,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_016,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_017,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_018,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_019,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_020,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_021,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_022,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_023,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_024,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Regular User_025,Regular User,32,32,32,15,200,500,300,2.5,7.874999999999998,19.6875,11.812500000000002
Medium Complexity_013,Medium Complexity,64,32,64,10,341,682,341,2.0,8.95125,17.9025,8.95125
Medium Complexity_014,Medium Complexity,64,32,64,10,341,682,341,2.0,8.95125,17.9025,8.95125
Medium Complexity_015,Medium Complexity,64,32,64,10,341,682,341,2.0,8.95125,17.9025,8.95125
Medium Complexity_012,Medium Complexity,64,32,64,10,341,682,341,2.0,8.95125,17.9025,8.95125
Medium Complexity_011,Medium Complexity,64,32,64,10,341,682,341,2.0,8.95125,17.9025,8.95125
Medium Complexity_010,Medium Complexity,64,32,64,10,341,682,341,2.0,8.95125,17.9025,8.95125
Medium Complexity_009,Medium Complexity,64,32,64,10,341,682,341,2.0,8.95125,17.9025,8.95125
Medium Complexity_008,Medium Complexity,64,32,64,10,341,682,341,2.0,8.95125,17.9025,8.95125
Medium Complexity_001,Medium Complexity,64,32,64,10,341,682,341,2.0,8.95125,17.9025,8.95125
Medium Complexity_002,Medium Complexity,64,32,64,10,341,682,341,2.0,8.95125,17.9025,8.95125
Medium Complexity_003,Medium Complexity,64,32,64,10,341,682,341,2.0,8.95125,17.9025,8.95125
Medium Complexity_004,Medium Complexity,64,32,64,10,341,682,341,2.0,8.95125,17.9025,8.95125
Medium Complexity_005,Medium Complexity,64,32,64,10,341,682,341,2.0,8.95125,17.9025,8.95125
Medium Complexity_006,Medium Complexity,64,32,64,10,341,682,341,2.0,8.95125,17.9025,8.95125
Medium Complexity_007,Medium Complexity,64,32,64,10,341,682,341,2.0,8.95125,17.9025,8.95125
Regular User_017,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_023,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_022,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_021,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_036,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_035,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_034,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_033,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_032,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_030,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_016,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_018,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_019,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_020,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_003,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_002,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_005,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_006,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_007,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_008,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_009,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_010,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_011,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_012,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_031,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_001,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_024,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_025,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_026,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_027,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_028,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_013,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_014,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_015,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_045,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_046,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_039,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_048,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_049,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_050,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_037,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_038,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_004,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_040,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_041,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_042,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_043,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_044,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_029,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
Regular User_047,Regular User,32,32,32,5,200,500,300,2.5,2.625,6.5625,3.9375
